word,kana,ipa,origin
方,カタ,kata,和
作る,ツクル,t͡sɯkɯɾɯ,和
関係,カンケイ,kaŋkeː,漢
此処,ココ,koko,和
多い,オオイ,oːi,和
御座る,ゴザル,ɡozaɾɯ,混
其処,ソコ,soko,和
六十,ロクジュウ,ɾokɯʑɯː,漢
目,メ,me,和
九十,キュウジュウ,kʲɯːʑɯː,漢
度,ド,do,漢
上,ウエ,ɯe,和
市,シ,ɕi,漢
日,カ,ka,和
八十,ハチジュウ,hat͡ɕiʑɯː,漢
出す,ダス,dasɯ,和
及び,オヨビ,ojobi,和
社会,シャカイ,ɕakai,漢
話,ハナシ,hanaɕi,和
貴方,アナタ,anata,和
僕,ボク,bokɯ,漢
手,テ,te,和
以上,イジョウ,iʑoː,漢
事業,ジギョウ,d͡ʑiɡʲoː,漢
歳,サイ,sai,漢
内,ウチ,ɯt͡ɕi,和
私,ワタシ,ɰataɕi,和
皆,ミナ,mina,和
七十,ナナジュウ,nanaʑɯː,混
付ける,ツケル,t͡sɯkeɾɯ,和
べし,ベシ,beɕi,和
付く,ツク,t͡sɯkɯ,和
世界,セカイ,sekai,漢
他,ホカ,hoka,和
点,テン,teɴ,漢
受ける,ウケル,ɯkeɾɯ,和
人間,ニンゲン,ɲiŋɡeɴ,漢
二千,ニセン,ɲiseɴ,漢
次,ツギ,t͡sɯɡi,和
良く,ヨク,jokɯ,和
生活,セイカツ,seːkat͡sɯ,漢
法,ホウ,hoː,漢
同じ,オナジ,onaʑi,和
書く,カク,kakɯ,和
貰う,モラウ,moɾaɯ,和
会社,カイシャ,kaiɕa,漢
何時,イツ,it͡sɯ,和
高い,タカイ,takai,和
得る,エル,eɾɯ,和
掛ける,カケル,kakeɾɯ,和
条,ジョウ,d͡ʑoː,漢
そんな,ソンナ,sonna,和
中,チュウ,t͡ɕɯː,漢
男,オトコ,otoko,和
研究,ケンキュウ,keŋkʲɯː,漢
地域,チイキ,t͡ɕiːki,漢
顔,カオ,kao,和
大,ダイ,dai,漢
情報,ジョウホウ,d͡ʑoːhoː,漢
意味,イミ,imi,漢
回,カイ,kai,漢
彼女,カノジョ,kanoʑo,混
知れる,シレル,ɕiɾeɾɯ,和
侭,ママ,mama,和
図,ズ,d͡zɯ,漢
そう,ソウ,soː,和
言葉,コトバ,kotoba,和
入れる,イレル,iɾeɾɯ,和
国,クニ,kɯɲi,和
関する,カンスル,kaɰ̃sɯɾɯ,混
県,ケン,keɴ,漢
学校,ガッコウ,ɡakkoː,漢
間,アイダ,aida,和
上げる,アゲル,aɡeɾɯ,和
り,リ,ɾi,和
所,ショ,ɕo,漢
仕事,シゴト,ɕiɡoto,和
大きい,オオキイ,oːkiː,和
一人,ヒトリ,çitoɾi,和
企業,キギョウ,kiɡʲoː,漢
誰,ダレ,daɾe,和
可能,カノウ,kanoː,漢
分,フン,ɸɯɴ,漢
二百,ニヒャク,ɲiçʲakɯ,漢
何処,ドコ,doko,和
見える,ミエル,mieɾɯ,和
委員,イイン,iːɴ,漢
頂く,イタダク,itadakɯ,和
時代,ジダイ,d͡ʑidai,漢
利用,リヨウ,ɾijoː,漢
少し,スコシ,sɯkoɕi,和
今日,キョウ,kʲoː,和
本当,ホントウ,hontoː,漢
者,モノ,mono,和
様,サマ,sama,和
彼の,アノ,ano,和
二人,フタリ,ɸɯtaɾi,和
掛かる,カカル,kakaɾɯ,和
全て,スベテ,sɯbete,和
声,コエ,koe,和
現在,ゲンザイ,ɡenzai,漢
不,フ,ɸɯ,漢
家,イエ,ie,和
方法,ホウホウ,hoːhoː,漢
経済,ケイザイ,keːzai,漢
未だ,マダ,mada,和
別,ベツ,bet͡sɯ,漢
女性,ジョセイ,d͡ʑoseː,漢
矢張り,ヤハリ,jahaɾi,和
食べる,タベル,tabeɾɯ,和
教える,オシエル,oɕieɾɯ,和
頃,コロ,koɾo,和
通り,トオリ,toːɾi,和
共,トモ,tomo,和
他,タ,ta,漢
心,ココロ,kokoɾo,和
年度,ネンド,nendo,漢
後,ゴ,ɡo,漢
活動,カツドウ,kat͡sɯdoː,漢
違う,チガウ,t͡ɕiɡaɯ,和
何,ナン,naɴ,和
始める,ハジメル,haʑimeɾɯ,和
環境,カンキョウ,kaŋkʲoː,漢
大きな,オオキナ,oːkina,和
部,ブ,bɯ,漢
俺,オレ,oɾe,和
家,カ,ka,漢
トウキョウ,トウキョウ,toːkʲoː,固
一寸,チョット,t͡ɕotto,和
先,サキ,saki,和
子,コ,ko,和
電話,デンワ,deɰ̃ɰa,漢
結果,ケッカ,kekka,漢
調査,チョウサ,t͡ɕoːsa,漢
変わる,カワル,kaɰaɾɯ,和
過ぎる,スギル,sɯɡiɾɯ,和
ちゃん,チャン,t͡ɕaɴ,和
君,クン,kɯɴ,漢
又,マタ,mata,和
内,ナイ,nai,漢
相手,アイテ,aite,和
目,メ,me,和
呼ぶ,ヨブ,jobɯ,和
感ずる,カンズル,kand͡zɯɾɯ,混
状況,ジョウキョウ,d͡ʑoːkʲoː,漢
強い,ツヨイ,t͡sɯjoi,和
アメリカ,アメリカ,ameɾika,固
力,リョク,ɾʲokɯ,漢
女,オンナ,onna,和
上,ジョウ,d͡ʑoː,漢
教育,キョウイク,kʲoːikɯ,漢
買う,カウ,kaɯ,和
地,チ,t͡ɕi,漢
計画,ケイカク,keːkakɯ,漢
技術,ギジュツ,ɡiʑɯt͡sɯ,漢
用,ヨウ,joː,漢
先ず,マズ,mazɯ,和
直ぐ,スグ,sɯɡɯ,和
悪い,ワルイ,ɰaɾɯi,和
大学,ダイガク,daiɡakɯ,漢
続ける,ツヅケル,t͡sɯzɯkeɾɯ,和
先生,センセイ,seɰ̃seː,漢
特に,トクニ,tokɯɲi,混
何の,ドノ,dono,和
内容,ナイヨウ,naijoː,漢
或いは,アルイハ,aɾɯiha,和
書,ショ,ɕo,漢
写真,シャシン,ɕaɕiɴ,漢
約,ヤク,jakɯ,漢
保険,ホケン,hokeɴ,漢
生,セイ,seː,漢
号,ゴウ,ɡoː,漢
場所,バショ,baɕo,混
車,シャ,ɕa,漢
昭和,ショウワ,ɕoːɰa,固
筈,ハズ,hazɯ,和
代,ダイ,dai,漢
状態,ジョウタイ,d͡ʑoːtai,漢
一般,イッパン,ippaɴ,漢
例えば,タトエバ,tatoeba,和
少ない,スクナイ,sɯkɯnai,和
五百,ゴヒャク,ɡoçʲakɯ,漢
使用,シヨウ,ɕijoː,漢
示す,シメス,ɕimesɯ,和
部分,ブブン,bɯbɯɴ,漢
館,カン,kaɴ,漢
政府,セイフ,seːɸɯ,漢
長い,ナガイ,naɡai,和
こんな,コンナ,konna,和
八百,ハッピャク,happʲakɯ,漢
平成,ヘイセイ,heːseː,固
ページ,ページ,peːʑi,外
労働,ロウドウ,ɾoːdoː,漢
好き,スキ,sɯki,和
二,フタ,ɸɯta,和
早い,ハヤイ,hajai,和
制度,セイド,seːdo,漢
員,イン,iɴ,漢
対象,タイショウ,taiɕoː,漢
みたい,ミタイ,mitai,和
存在,ソンザイ,sonzai,漢
返る,カエル,kaeɾɯ,和
開発,カイハツ,kaihat͡sɯ,漢
致す,イタス,itasɯ,和
気持ち,キモチ,kimot͡ɕi,混
切る,キル,kiɾɯ,和
国,コク,kokɯ,漢
基本,キホン,kihoɴ,漢
三百,サンビャク,sambʲakɯ,漢
規定,キテイ,kiteː,漢
体,カラダ,kaɾada,和
頭,アタマ,atama,和
質問,シツモン,ɕit͡sɯmoɴ,漢
項,コウ,koː,漢
説明,セツメイ,set͡sɯmeː,漢
読む,ヨム,jomɯ,和
氏,シ,ɕi,漢
省,ショウ,ɕoː,漢
水,ミズ,mizɯ,和
何故,ナゼ,naze,和
実施,ジッシ,d͡ʑiɕɕi,漢
表,ヒョウ,çʲoː,漢
全く,マッタク,mattakɯ,和
重要,ジュウヨウ,d͡ʑɯːjoː,漢
立つ,タツ,tat͡sɯ,和
施設,シセツ,ɕiset͡sɯ,漢
殆ど,ホトンド,hotondo,和
新しい,アタラシイ,ataɾaɕiː,和
話す,ハナス,hanasɯ,和
中国,チュウゴク,t͡ɕɯːɡokɯ,固
地方,チホウ,t͡ɕihoː,漢
一緒,イッショ,iɕɕo,漢
一番,イチバン,it͡ɕibaɴ,漢
管理,カンリ,kanɾi,漢
費,ヒ,çi,漢
参加,サンカ,saŋka,漢
機,キ,ki,漢
易い,ヤスイ,jasɯi,和
小,ショウ,ɕoː,漢
物,ブツ,bɯt͡sɯ,漢
或る,アル,aɾɯ,和
車,クルマ,kɯɾɯma,和
口,クチ,kɯt͡ɕi,和
型,ガタ,ɡata,和
最近,サイキン,saikiɴ,漢
形,カタチ,katat͡ɕi,和
事件,ジケン,d͡ʑikeɴ,漢
語,ゴ,ɡo,漢
国民,コクミン,kokɯmiɴ,漢
億,オク,okɯ,漢
程度,テイド,teːdo,漢
勿論,モチロン,mot͡ɕiɾoɴ,漢
中心,チュウシン,t͡ɕɯːɕiɴ,漢
機関,キカン,kikaɴ,漢
余り,アマリ,amaɾi,和
求める,モトメル,motomeɾɯ,和
与える,アタエル,ataeɾɯ,和
多く,オオク,oːkɯ,和
欲しい,ホシイ,hoɕiː,和
センター,センター,sentaː,外
生きる,イキル,ikiɾɯ,和
権,ケン,keɴ,漢
文化,ブンカ,bɯŋka,漢
飲む,ノム,nomɯ,和
其々,ソレゾレ,soɾezoɾe,和
詰まり,ツマリ,t͡sɯmaɾi,和
若し,モシ,moɕi,和
整備,セイビ,seːbi,漢
各,カク,kakɯ,漢
国際,コクサイ,kokɯsai,漢
額,ガク,ɡakɯ,漢
願う,ネガウ,neɡaɯ,和
目的,モクテキ,mokɯteki,漢
姿,スガタ,sɯɡata,和
長,チョウ,t͡ɕoː,漢
笑い,ワライ,ɰaɾai,和
最初,サイショ,saiɕo,漢
実際,ジッサイ,d͡ʑissai,漢
部屋,ヘヤ,heja,和
感じ,カンジ,kand͡ʑi,混
力,チカラ,t͡ɕikaɾa,和
待つ,マツ,mat͡sɯ,和
らしい,ラシイ,ɾaɕiː,和
続く,ツヅク,t͡sɯzɯkɯ,和
我が,ワガ,ɰaɡa,和
実,ジツ,d͡ʑit͡sɯ,漢
従う,シタガウ,ɕitaɡaɯ,和
既に,スデニ,sɯdeɲi,和
主義,シュギ,ɕɯɡi,漢
更に,サラニ,saɾaɲi,和
新,シン,ɕiɴ,漢
風,フウ,ɸɯː,漢
評価,ヒョウカ,çʲoːka,漢
金,カネ,kane,和
率,リツ,ɾit͡sɯ,漢
で,デ,de,和
乗る,ノル,noɾɯ,和
どんな,ドンナ,donna,和
認める,ミトメル,mitomeɾɯ,和
理由,リユウ,ɾijɯː,漢
ちゃう,チャウ,t͡ɕaɯ,和
全体,ゼンタイ,zentai,漢
自由,ジユウ,d͡ʑijɯː,漢
変化,ヘンカ,heŋka,漢
生産,セイサン,seːsaɴ,漢
金,キン,kiɴ,漢
以外,イガイ,iɡai,漢
普通,フツウ,ɸɯt͡sɯː,漢
下,シタ,ɕita,和
つう,ツウ,t͡sɯː,和
答える,コタエル,kotaeɾɯ,和
最後,サイゴ,saiɡo,漢
終わる,オワル,oɰaɾɯ,和
開く,ヒラク,çiɾakɯ,和
側,ガワ,ɡaɰa,和
分,ブン,bɯɴ,漢
初めて,ハジメテ,haʑimete,和
家族,カゾク,kazokɯ,漢
効果,コウカ,koːka,漢
含む,フクム,ɸɯkɯmɯ,和
量,リョウ,ɾʲoː,漢
機能,キノウ,kinoː,漢
人々,ヒトビト,çitobito,和
会う,アウ,aɯ,和
以下,イカ,ika,漢
更に,サラニ,saɾaɲi,和
迚も,トテモ,totemo,和
箇月,カゲツ,kaɡet͡sɯ,漢
戻る,モドル,modoɾɯ,和
影響,エイキョウ,eːkʲoː,漢
理解,リカイ,ɾikai,漢
対策,タイサク,taisakɯ,漢
母,ハハ,haha,和
山,ヤマ,jama,和
感,カン,kaɴ,漢
都市,トシ,toɕi,漢
数,スウ,sɯː,漢
相談,ソウダン,soːdaɴ,漢
四百,ヨンヒャク,joçʲakɯ,混
例,レイ,ɾeː,漢
健康,ケンコウ,keŋkoː,漢
系,ケイ,keː,漢
対応,タイオウ,taioː,漢
区,ク,kɯ,漢
歩く,アルク,aɾɯkɯ,和
当たる,アタル,ataɾɯ,和
運動,ウンドウ,ɯndoː,漢
最も,モットモ,mottomo,和
此方,コチラ,kot͡ɕiɾa,和
業,ギョウ,ɡʲoː,漢
料,リョウ,ɾʲoː,漢
午後,ゴゴ,ɡoɡo,漢
個人,コジン,koʑiɴ,漢
夜,ヨル,joɾɯ,和
障害,ショウガイ,ɕoːɡai,漢
非常,ヒジョウ,çiʑoː,漢
七,シチ,ɕit͡ɕi,漢
自然,シゼン,ɕizeɴ,漢
品,ヒン,çiɴ,漢
学,ガク,ɡakɯ,漢
数,スウ,sɯː,漢
安全,アンゼン,anzeɴ,漢
当時,トウジ,toːʑi,漢
期間,キカン,kikaɴ,漢
図る,ハカル,hakaɾɯ,和
政治,セイジ,seːʑi,漢
町,チョウ,t͡ɕoː,漢
社,シャ,ɕa,漢
期,キ,ki,漢
向かう,ムカウ,mɯkaɯ,和
可成,カナリ,kanaɾi,混
元,モト,moto,和
大臣,ダイジン,daiʑiɴ,漢
確認,カクニン,kakɯɲiɴ,漢
指導,シドウ,ɕidoː,漢
なり,ナリ,naɾi,和
本,ホン,hoɴ,漢
本,ホン,hoɴ,漢
花,ハナ,hana,和
意識,イシキ,iɕiki,漢
自身,ジシン,d͡ʑiɕiɴ,漢
もっと,モット,motto,和
結婚,ケッコン,kekkoɴ,漢
式,シキ,ɕiki,漢
身,ミ,mi,和
名,メイ,meː,漢
サービス,サービス,saːbisɯ,外
経営,ケイエイ,keːeː,漢
町,マチ,mat͡ɕi,和
唯,タダ,tada,和
父,チチ,t͡ɕit͡ɕi,和
面,メン,meɴ,漢
深い,フカイ,ɸɯkai,和
システム,システム,ɕisɯtemɯ,外
色,イロ,iɾo,和
商品,ショウヒン,ɕoːçiɴ,漢
今回,コンカイ,koŋkai,漢
局,キョク,kʲokɯ,漢
見せる,ミセル,miseɾɯ,和
店,ミセ,mise,和
年間,ネンカン,neŋkaɴ,漢
事務,ジム,d͡ʑimɯ,漢
作品,サクヒン,sakɯçiɴ,漢
死ぬ,シヌ,ɕinɯ,和
六百,ロッピャク,ɾoppʲakɯ,漢
名前,ナマエ,namae,和
若い,ワカイ,ɰakai,和
推進,スイシン,sɯiɕiɴ,漢
音,オト,oto,和
変える,カエル,kaeɾɯ,和
メートル,メートル,meːtoɾɯ,外
そう,ソウ,soː,和
行動,コウドウ,koːdoː,漢
同,ドウ,doː,漢
法律,ホウリツ,hoːɾit͡sɯ,漢
七百,ナナヒャク,nanaçʲakɯ,混
自動,ジドウ,d͡ʑidoː,漢
君,キミ,kimi,和
残る,ノコル,nokoɾɯ,和
発生,ハッセイ,hasseː,漢
決定,ケッテイ,ketteː,漢
歴史,レキシ,ɾekiɕi,漢
三,ミ,mi,和
駅,エキ,eki,漢
産業,サンギョウ,saŋɡʲoː,漢
テレビ,テレビ,teɾebi,外
組織,ソシキ,soɕiki,漢
屋,ヤ,ja,和
メール,メール,meːɾɯ,外
課,カ,ka,漢
違い,チガイ,t͡ɕiɡai,和
様々,サマザマ,samazama,和
特別,トクベツ,tokɯbet͡sɯ,漢
協力,キョウリョク,kʲoːɾʲokɯ,漢
病院,ビョウイン,bʲoːiɴ,漢
消費,ショウヒ,ɕoːçi,漢
報告,ホウコク,hoːkokɯ,漢
確か,タシカ,taɕika,和
道,ミチ,mit͡ɕi,和
旨い,ウマイ,ɯmai,和
価格,カカク,kakakɯ,漢
処理,ショリ,ɕoɾi,漢
選ぶ,エラブ,eɾabɯ,和
事実,ジジツ,d͡ʑiʑit͡sɯ,漢
保護,ホゴ,hoɡo,漢
増加,ゾウカ,zoːka,漢
神,カミ,kami,和
生まれる,ウマレル,ɯmaɾeɾɯ,和
表示,ヒョウジ,çʲoːʑi,漢
合わせる,アワセル,aɰaseɾɯ,和
条件,ジョウケン,d͡ʑoːkeɴ,漢
精神,セイシン,seːɕiɴ,漢
客,キャク,kʲakɯ,漢
行為,コウイ,koːi,漢
責任,セキニン,sekiɲiɴ,漢
進む,ススム,sɯsɯmɯ,和
必ず,カナラズ,kanaɾazɯ,和
無,ム,mɯ,漢
医療,イリョウ,iɾʲoː,漢
室,シツ,ɕit͡sɯ,漢
設定,セッテイ,setteː,漢
凄い,スゴイ,sɯɡoi,和
定める,サダメル,sadameɾɯ,和
経験,ケイケン,keːkeɴ,漢
我々,ワレワレ,ɰaɾeɰaɾe,和
文字,モジ,moʑi,漢
加える,クワエル,kɯɰaeɾɯ,和
始まる,ハジマル,haʑimaɾɯ,和
昔,ムカシ,mɯkaɕi,和
紹介,ショウカイ,ɕoːkai,漢
然も,シカモ,ɕikamo,和
親,オヤ,oja,和
足,アシ,aɕi,和
今後,コンゴ,koŋɡo,漢
場,ジョウ,d͡ʑoː,漢
市場,シジョウ,ɕiʑoː,漢
一部,イチブ,it͡ɕibɯ,漢
線,セン,seɴ,漢
意見,イケン,ikeɴ,漢
走る,ハシル,haɕiɾɯ,和
忘れる,ワスレル,ɰasɯɾeɾɯ,和
関わる,カカワル,kakaɰaɾɯ,和
土地,トチ,tot͡ɕi,漢
何方,ドチラ,dot͡ɕiɾa,和
木,キ,ki,和
映画,エイガ,eːɡa,漢
枚,マイ,mai,漢
団体,ダンタイ,dantai,漢
御前,オマエ,omae,和
まあ,マア,maː,和
際,サイ,sai,漢
働く,ハタラク,hataɾakɯ,和
送る,オクル,okɯɾɯ,和
戦争,センソウ,seɰ̃soː,漢
渡る,ワタル,ɰataɾɯ,和
体,タイ,tai,漢
決める,キメル,kimeɾɯ,和
資料,シリョウ,ɕiɾʲoː,漢
注意,チュウイ,t͡ɕɯːi,漢
新聞,シンブン,ɕimbɯɴ,漢
店,テン,teɴ,漢
述べる,ノベル,nobeɾɯ,和
娘,ムスメ,mɯsɯme,和
同時,ドウジ,doːʑi,漢
起こる,オコル,okoɾɯ,和
方,カタ,kata,和
福祉,フクシ,ɸɯkɯɕi,漢
判断,ハンダン,handaɴ,漢
四,シ,ɕi,漢
銀行,ギンコウ,ɡiŋkoː,漢
三千,サンゼン,sanzeɴ,漢
基づく,モトヅク,motozɯkɯ,和
税,ゼイ,zeː,漢
基準,キジュン,kiʑɯɴ,漢
住宅,ジュウタク,d͡ʑɯːtakɯ,漢
時期,ジキ,d͡ʑiki,漢
簡単,カンタン,kantaɴ,漢
行政,ギョウセイ,ɡʲoːseː,漢
交通,コウツウ,koːt͡sɯː,漢
構造,コウゾウ,koːzoː,漢
朝,アサ,asa,和
越える,コエル,koeɾɯ,和
川,カワ,kaɰa,和
午前,ゴゼン,ɡozeɴ,漢
役,ヤク,jakɯ,漢
契約,ケイヤク,keːjakɯ,漢
予定,ヨテイ,joteː,漢
番,バン,baɴ,漢
代表,ダイヒョウ,daiçʲoː,漢
為さる,ナサル,nasaɾɯ,和
作業,サギョウ,saɡʲoː,漢
政策,セイサク,seːsakɯ,漢
立てる,タテル,tateɾɯ,和
比べる,クラベル,kɯɾabeɾɯ,和
外国,ガイコク,ɡaikokɯ,漢
世紀,セイキ,seːki,漢
近く,チカク,t͡ɕikakɯ,和
間,カン,kaɴ,漢
向ける,ムケル,mɯkeɾɯ,和
家庭,カテイ,kateː,漢
色々,イロイロ,iɾoiɾo,和
男性,ダンセイ,daɰ̃seː,漢
データ,データ,deːta,外
描く,エガク,eɡakɯ,混
検討,ケントウ,kentoː,漢
選択,センタク,sentakɯ,漢
原因,ゲンイン,ɡeɰ̃iɴ,漢
小さい,チイサイ,t͡ɕiːsai,和
市民,シミン,ɕimiɴ,漢
以前,イゼン,izeɴ,漢
販売,ハンバイ,hambai,漢
進める,ススメル,sɯsɯmeɾɯ,和
外,ソト,soto,和
支援,シエン,ɕieɴ,漢
警察,ケイサツ,keːsat͡sɯ,漢
指定,シテイ,ɕiteː,漢
庁,チョウ,t͡ɕoː,漢
自己,ジコ,d͡ʑiko,漢
笑う,ワラウ,ɰaɾaɯ,和
小さな,チイサナ,t͡ɕiːsana,和
大切,タイセツ,taiset͡sɯ,漢
軍,グン,ɡɯɴ,漢
中,チュウ,t͡ɕɯː,漢
十分,ジュウブン,d͡ʑɯːbɯɴ,漢
村,ムラ,mɯɾa,和
明らか,アキラカ,akiɾaka,和
再,サイ,sai,漢
何れ,イズレ,izɯɾe,和
全国,ゼンコク,zeŋkokɯ,漢
料理,リョウリ,ɾʲoːɾi,漢
投資,トウシ,toːɕi,漢
済む,スム,sɯmɯ,和
友達,トモダチ,tomodat͡ɕi,和
用いる,モチイル,mot͡ɕiːɾɯ,和
駄目,ダメ,dame,混
嫌,イヤ,ija,和
専門,センモン,semmoɴ,漢
思い,オモイ,omoi,和
表現,ヒョウゲン,çʲoːɡeɴ,漢
楽しい,タノシイ,tanoɕiː,和
法人,ホウジン,hoːʑiɴ,漢
作成,サクセイ,sakɯseː,漢
年金,ネンキン,neŋkiɴ,漢
期待,キタイ,kitai,漢
能力,ノウリョク,noːɾʲokɯ,漢
動く,ウゴク,ɯɡokɯ,和
引く,ヒク,çikɯ,和
取り引き,トリヒキ,toɾiçiki,和
裁判,サイバン,saibaɴ,漢
国家,コッカ,kokka,漢
種類,シュルイ,ɕɯɾɯi,漢
彼れ,アレ,aɾe,和
台,ダイ,dai,漢
今度,コンド,kondo,漢
難しい,ムズカシイ,mɯzɯkaɕiː,和
同じ,オナジ,onaʑi,和
打つ,ウツ,ɯt͡sɯ,和
猶,ナオ,nao,和
当該,トウガイ,toːɡai,漢
ずっと,ズット,d͡zɯtto,和
止める,ヤメル,jameɾɯ,和
位置,イチ,it͡ɕi,漢
守る,マモル,mamoɾɯ,和
都,ト,to,漢
心配,シンパイ,ɕimpai,漢
現実,ゲンジツ,ɡend͡ʑit͡sɯ,漢
奴,ヤツ,jat͡sɯ,和
現われる,アラワレル,aɾaɰaɾeɾɯ,和
美味しい,オイシイ,oiɕiː,和
辺り,アタリ,ataɾi,和
階,カイ,kai,漢
士,シ,ɕi,漢
連絡,レンラク,ɾenɾakɯ,漢
科学,カガク,kaɡakɯ,漢
中々,ナカナカ,nakanaka,和
道路,ドウロ,doːɾo,漢
面白い,オモシロイ,omoɕiɾoi,和
住む,スム,sɯmɯ,和
官,カン,kaɴ,漢
建設,ケンセツ,keɰ̃set͡sɯ,漢
中央,チュウオウ,t͡ɕɯːoː,漢
絶対,ゼッタイ,zettai,漢
党,トウ,toː,漢
楽しむ,タノシム,tanoɕimɯ,和
昨日,キノウ,kinoː,和
具体,グタイ,ɡɯtai,漢
患者,カンジャ,kand͡ʑa,漢
同様,ドウヨウ,doːjoː,漢
毎日,マイニチ,maiɲit͡ɕi,漢
五千,ゴセン,ɡoseɴ,漢
選手,センシュ,seɰ̃ɕɯ,漢
頑張る,ガンバル,ɡambaɾɯ,混
伝える,ツタエル,t͡sɯtaeɾɯ,和
比較,ヒカク,çikakɯ,漢
通信,ツウシン,t͡sɯːɕiɴ,漢
会議,カイギ,kaiɡi,漢
光,ヒカリ,çikaɾi,和
負担,フタン,ɸɯtaɴ,漢
夢,ユメ,jɯme,和
但し,タダシ,tadaɕi,和
無し,ナシ,naɕi,和
奇麗,キレイ,kiɾeː,漢
申し込み,モウシコミ,moːɕikomi,和
規模,キボ,kibo,漢
生ずる,ショウズル,ɕoːzɯɾɯ,混
業務,ギョウム,ɡʲoːmɯ,漢
勧める,ススメル,sɯsɯmeɾɯ,和
提供,テイキョウ,teːkʲoː,漢
構成,コウセイ,koːseː,漢
被害,ヒガイ,çiɡai,漢
事故,ジコ,d͡ʑiko,漢
奥,オク,okɯ,和
増える,フエル,ɸɯeɾɯ,和
オオサカ,オオサカ,oːsaka,固
幾,イク,ikɯ,和
方向,ホウコウ,hoːkoː,漢
変更,ヘンコウ,heŋkoː,漢
逆,ギャク,ɡʲakɯ,漢
個,コ,ko,漢
